기준_년분기_코드,행정동코드,통합_카테고리,sales_sum,sales_mean,sales_count,store_count,pop_sum,pop_mean,pop_count,행정동명
20251,11110630,생활용품 소매,9726105819,1621017636.5,6,118,4952892,4952892.0,1,종로5?6가동
20251,11110630,숙박,240916070,240916070.0,1,41,4952892,4952892.0,1,종로5?6가동
20251,11110630,식품 소매,6082003769,2027334589.6666667,3,31,4952892,4952892.0,1,종로5?6가동
20251,11110630,애완동물,10710150,10710150.0,1,1,4952892,4952892.0,1,종로5?6가동
20251,11110630,양식/기타외식,140338631,140338631.0,1,11,4952892,4952892.0,1,종로5?6가동
20251,11110630,오락/유흥,887273194,443636597.0,2,17,4952892,4952892.0,1,종로5?6가동
20251,11110630,의료/약국,38134108570,6355684761.666667,6,77,4952892,4952892.0,1,종로5?6가동
20251,11110630,의류/패션,12080696846,3020174211.5,4,300,4952892,4952892.0,1,종로5?6가동
20251,11110630,일식,248276383,248276383.0,1,15,4952892,4952892.0,1,종로5?6가동
20251,11110630,전자/통신,2094958138,698319379.3333334,3,10,4952892,4952892.0,1,종로5?6가동
20251,11110630,주점,2307932164,2307932164.0,1,95,4952892,4952892.0,1,종로5?6가동
20251,11110630,중식,342778889,342778889.0,1,11,4952892,4952892.0,1,종로5?6가동
20251,11110630,카페,2657462632,2657462632.0,1,0,4952892,4952892.0,1,종로5?6가동
20251,11110630,패스트푸드/치킨,1642406840,821203420.0,2,0,4952892,4952892.0,1,종로5?6가동
20251,11110630,편의점,2722293379,2722293379.0,1,63,4952892,4952892.0,1,종로5?6가동
20251,11110630,한식,18814159476,18814159476.0,1,242,4952892,4952892.0,1,종로5?6가동
20251,11110640,미용실,173980978,173980978.0,1,12,4574168,4574168.0,1,이화동
20251,11110640,분식/간식,2890177889,1445088944.5,2,70,4574168,4574168.0,1,이화동
20251,11110640,생활용품 소매,303893083,151946541.5,2,41,4574168,4574168.0,1,이화동
20251,11110640,스포츠 강습,31092968,31092968.0,1,0,4574168,4574168.0,1,이화동
20251,11110640,스포츠/레저,124745389,124745389.0,1,5,4574168,4574168.0,1,이화동
20251,11110640,식품 소매,4847512681,4847512681.0,1,11,4574168,4574168.0,1,이화동
20251,11110640,양식/기타외식,1504847652,1504847652.0,1,20,4574168,4574168.0,1,이화동
20251,11110640,예술학원,590190396,590190396.0,1,44,4574168,4574168.0,1,이화동
20251,11110640,오락/유흥,11260164,11260164.0,1,22,4574168,4574168.0,1,이화동
20251,11110640,의료/약국,2495467447,623866861.75,4,25,4574168,4574168.0,1,이화동
20251,11110640,의류/패션,582829645,291414822.5,2,43,4574168,4574168.0,1,이화동
20251,11110640,일반학원,85417299,85417299.0,1,26,4574168,4574168.0,1,이화동
20251,11110640,일식,897001784,897001784.0,1,15,4574168,4574168.0,1,이화동
20251,11110640,전자/통신,12419186,12419186.0,1,2,4574168,4574168.0,1,이화동
20251,11110640,주점,2237192433,2237192433.0,1,27,4574168,4574168.0,1,이화동
20251,11110640,중식,637115287,637115287.0,1,19,4574168,4574168.0,1,이화동
20251,11110640,카페,3734865203,3734865203.0,1,0,4574168,4574168.0,1,이화동
20251,11110640,패스트푸드/치킨,1239610065,619805032.5,2,0,4574168,4574168.0,1,이화동
20251,11110640,편의점,4245310787,4245310787.0,1,29,4574168,4574168.0,1,이화동
20251,11110640,한식,7939675960,7939675960.0,1,102,4574168,4574168.0,1,이화동
20251,11110650,B2B 서비스,482238433,241119216.5,2,278,8475034,8475034.0,1,혜화동
20251,11110650,미용실,737443785,737443785.0,1,61,8475034,8475034.0,1,혜화동
20251,11110650,분식/간식,5051036916,2525518458.0,2,99,8475034,8475034.0,1,혜화동
20251,11110650,뷰티/화장품,1096597532,365532510.6666667,3,33,8475034,8475034.0,1,혜화동
20251,11110650,생활용품 소매,909636361,181927272.2,5,66,8475034,8475034.0,1,혜화동
20251,11110650,수리/세탁,191871950,95935975.0,2,38,8475034,8475034.0,1,혜화동
20251,11110650,숙박,81497180,81497180.0,1,65,8475034,8475034.0,1,혜화동
20251,11110650,스포츠 강습,214479562,214479562.0,1,0,8475034,8475034.0,1,혜화동
20251,11110650,스포츠/레저,387760686,387760686.0,1,25,8475034,8475034.0,1,혜화동
20251,11110650,식품 소매,2617027006,1308513503.0,2,22,8475034,8475034.0,1,혜화동
20251,11110650,양식/기타외식,2784406865,2784406865.0,1,40,8475034,8475034.0,1,혜화동
20251,11110650,예술학원,770217217,770217217.0,1,71,8475034,8475034.0,1,혜화동
20251,11110650,오락/유흥,650416633,216805544.33333334,3,34,8475034,8475034.0,1,혜화동
20251,11110650,의료/약국,4544951886,908990377.2,5,33,8475034,8475034.0,1,혜화동
20251,11110650,의류/패션,850831539,425415769.5,2,60,8475034,8475034.0,1,혜화동
20251,11110650,일반학원,358287472,179143736.0,2,33,8475034,8475034.0,1,혜화동
20251,11110650,일식,2669545565,2669545565.0,1,48,8475034,8475034.0,1,혜화동
20251,11110650,전자/통신,330130572,165065286.0,2,10,8475034,8475034.0,1,혜화동
20251,11110650,주점,3346883811,3346883811.0,1,64,8475034,8475034.0,1,혜화동
20251,11110650,중식,823398023,823398023.0,1,42,8475034,8475034.0,1,혜화동
20251,11110650,카페,4222705626,4222705626.0,1,0,8475034,8475034.0,1,혜화동
20251,11110650,패스트푸드/치킨,1016543371,508271685.5,2,0,8475034,8475034.0,1,혜화동
20251,11110650,편의점,2367109336,2367109336.0,1,53,8475034,8475034.0,1,혜화동
20251,11110650,한식,13857594413,13857594413.0,1,194,8475034,8475034.0,1,혜화동
20251,11110670,B2B 서비스,586737340,586737340.0,1,167,2729728,2729728.0,1,창신1동
20251,11110670,미용실,227563772,227563772.0,1,27,2729728,2729728.0,1,창신1동
20251,11110670,분식/간식,656212392,328106196.0,2,34,2729728,2729728.0,1,창신1동
20251,11110670,뷰티/화장품,98277199,32759066.333333332,3,27,2729728,2729728.0,1,창신1동
20251,11110670,생활용품 소매,23870862485,3978477080.8333335,6,48,2729728,2729728.0,1,창신1동
20251,11110670,숙박,427459692,427459692.0,1,45,2729728,2729728.0,1,창신1동
20251,11110670,스포츠/레저,5939001,5939001.0,1,10,2729728,2729728.0,1,창신1동
20251,11110670,식품 소매,2130933581,426186716.2,5,25,2729728,2729728.0,1,창신1동
20251,11110670,애완동물,716236475,716236475.0,1,17,2729728,2729728.0,1,창신1동
20251,11110670,양식/기타외식,2263087788,2263087788.0,1,5,2729728,2729728.0,1,창신1동
20251,11110670,예술학원,7546989,7546989.0,1,8,2729728,2729728.0,1,창신1동
20251,11110670,오락/유흥,180017821,60005940.333333336,3,15,2729728,2729728.0,1,창신1동
20251,11110670,의료/약국,9767895335,1953579067.0,5,37,2729728,2729728.0,1,창신1동
20251,11110670,의류/패션,9915145289,2478786322.25,4,171,2729728,2729728.0,1,창신1동
20251,11110670,일반학원,10789036,10789036.0,1,8,2729728,2729728.0,1,창신1동
20251,11110670,전자/통신,5924005517,1974668505.6666667,3,10,2729728,2729728.0,1,창신1동
20251,11110670,주점,1328252898,1328252898.0,1,32,2729728,2729728.0,1,창신1동
20251,11110670,중식,1160320208,1160320208.0,1,27,2729728,2729728.0,1,창신1동
20251,11110670,카페,594817901,594817901.0,1,0,2729728,2729728.0,1,창신1동
20251,11110670,패스트푸드/치킨,593638143,296819071.5,2,0,2729728,2729728.0,1,창신1동
20251,11110670,편의점,864240905,864240905.0,1,34,2729728,2729728.0,1,창신1동
20251,11110670,한식,3949159170,3949159170.0,1,100,2729728,2729728.0,1,창신1동
20251,11110680,미용실,88836706,88836706.0,1,18,4956177,4956177.0,1,창신2동
20251,11110680,분식/간식,76371213,76371213.0,1,13,4956177,4956177.0,1,창신2동
20251,11110680,뷰티/화장품,126051519,126051519.0,1,14,4956177,4956177.0,1,창신2동
20251,11110680,생활용품 소매,8911324,4455662.0,2,15,4956177,4956177.0,1,창신2동
20251,11110680,숙박,2759232,2759232.0,1,21,4956177,4956177.0,1,창신2동
20251,11110680,식품 소매,4059036742,1014759185.5,4,18,4956177,4956177.0,1,창신2동
20251,11110680,양식/기타외식,156567944,156567944.0,1,2,4956177,4956177.0,1,창신2동
